User/index###5b1754d09398f###2018-07-25 11:51:42###{"code":"001HdZFC0lVuHd23FFHC0NOiGC0HdZFf"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"37","position":"2","person":"1","company":"1"}}###{"code":"001HdZFC0lVuHd23FFHC0NOiGC0HdZFf"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-25 11:51:43###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-25 11:51:45###{"lng":"114.54679","lat":"37.99318"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u84dd\u5c71\u56fd\u9645"}}###{"lng":"114.54679","lat":"37.99318"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-25 11:51:46###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"74","title":"\u627e\u5de5\u4f5c","wage":"500","end_date":"\u957f\u671f\u6709\u6548","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-25 11:52:00###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-25 11:52:02###{"lng":"114.54679","lat":"37.99318"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u84dd\u5c71\u56fd\u9645"}}###{"lng":"114.54679","lat":"37.99318"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-25 11:52:02###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"74","title":"\u627e\u5de5\u4f5c","wage":"500","end_date":"\u957f\u671f\u6709\u6548","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-25 11:52:05###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-25 11:52:07###{"lng":"114.54679","lat":"37.99318"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u84dd\u5c71\u56fd\u9645"}}###{"lng":"114.54679","lat":"37.99318"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-25 11:52:07###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"74","title":"\u627e\u5de5\u4f5c","wage":"500","end_date":"\u957f\u671f\u6709\u6548","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"72","title":"\u6d4b\u8bd5","wage":"2222","end_date":"\u957f\u671f\u6709\u6548","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"69","title":"\u517c\u804c","wage":"100","end_date":"2018-07-22","payment_type":"1","area":"\u6865\u897f\u533a","type":"\u65e5\u7ed3"},{"rid":"68","title":"\u8d85\u5e02\u4e34\u4fc3","wage":"120","end_date":"\u957f\u671f\u6709\u9650","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"35","title":"\u6c29\u5f27\u710a","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-25 11:52:09###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
